#curie_map:
#   aiuc1: https://www.aiuc1.com/framework/
#   ibm-risk-atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#mapping_set_id: https://github.com/IBM/ai-atlas-nexus/tree/main/src/data/mappings/aiuc1_to_ibm_from_tsv_data.tsv
#mapping_set_description: Mapping from AIUC-1 Framework to IBM Risk Atlas
#license: https://www.apache.org/licenses/LICENSE-2.0.html
#mapping_date: '2026-02-12'
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	author_id	comment
aiuc1:aiuc1-req-a001	Establish input data policy	skos:relatedMatch	ibm-risk-atlas:atlas-data-acquisition	Data acquisition restrictions	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a001	Establish input data policy	skos:relatedMatch	ibm-risk-atlas:atlas-data-privacy-rights	Data privacy rights alignment	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a001	Establish input data policy	skos:relatedMatch	ibm-risk-atlas:atlas-data-usage	Data usage restrictions	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a001	Establish input data policy	skos:relatedMatch	ibm-risk-atlas:atlas-lack-of-data-transparency	Lack of data transparency	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a006	Prevent PII leakage	skos:relatedMatch	ibm-risk-atlas:atlas-personal-information-in-data	Personal information in data	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a002	Establish output data policy	skos:relatedMatch	ibm-risk-atlas:atlas-data-privacy-rights	Data privacy rights alignment	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a002	Establish output data policy	skos:relatedMatch	ibm-risk-atlas:atlas-generated-content-ownership	Generated content ownership and IP	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a003	Limit AI agent data collection	skos:relatedMatch	ibm-risk-atlas:atlas-data-acquisition	Data acquisition restrictions	semapv:SemanticSimilarityThresholdMatching	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a006	Prevent PII leakage	skos:relatedMatch	ibm-risk-atlas:atlas-confidential-data-in-prompt	Confidential data in prompt	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a004	Protect IP and trade secrets	skos:relatedMatch	ibm-risk-atlas:atlas-confidential-data-in-prompt	Confidential data in prompt	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a007	Prevent IP violations	skos:relatedMatch	ibm-risk-atlas:atlas-ip-information-in-prompt	IP information in prompt	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a003	Limit AI agent data collection	skos:relatedMatch	ibm-risk-atlas:atlas-personal-information-in-prompt	Personal information in prompt	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a003	Limit AI agent data collection	skos:relatedMatch	ibm-risk-atlas:atlas-sharing-info-tools-agentic	Sharing IP/PI/confidential information with tools	semapv:ManualMappingCuration	0.8	elizabeth.daly@ie.ibm.com
